ts_code,code6,stock_name,first_time_hms,news_datetime,news_title,news_content,channels,match_hit
000008.SZ,000008,神州高铁,09:25:00,,,,,0
000554.SZ,000554,泰山石油,09:32:09,,,,,0
000759.SZ,000759,中百集团,09:32:21,2026-07-14 09:37:06,零售概念震荡拉升 中百集团涨停,零售概念震荡拉升，中百集团涨停，中央商场、汇嘉时代、永辉超市、珠免集团跟涨。,eastmoney_724,1
000968.SZ,000968,蓝焰控股,09:39:57,,,,,0
001283.SZ,001283,豪鹏科技,09:54:51,,,,,0
001388.SZ,001388,信通电子,09:32:42,,,,,0
001389.SZ,001389,广合科技,09:52:03,2026-07-14 09:53:28,PCB板块短线拉升 广合科技、生益科技涨停,PCB板块短线拉升，广合科技、生益科技涨停，中英科技、东山精密、南亚新材、华正新材等纷纷走高。,eastmoney_724,1
001389.SZ,001389,广合科技,09:52:03,2026-07-14 09:30:58,港股PCB概念股反弹 建滔积层板涨5%,【港股PCB概念股反弹 建滔积层板涨5%】截至发稿，建滔积层板(01888.HK)涨5%，建滔集团(00148.HK)涨4.38%，广合科技(01989.HK)涨3%，胜宏科技(02476.HK)涨2.70%。,eastmoney_724,1
002141.SZ,002141,贤丰控股,09:58:09,,,,,0
002162.SZ,002162,悦心健康,10:12:03,,,,,0
002243.SZ,002243,力合科创,09:25:00,,,,,0
002523.SZ,002523,天桥起重,10:24:48,,,,,0
300937.SZ,300937,药易购,10:06:24,2026-07-14 10:28:57,医药板块全线走强！生物科技ETF易方达（159837）涨2.33%，药易购20cm涨停引领医药商业高潮,【医药板块全线走强！生物科技ETF易方达（159837）涨2.33%，药易购20cm涨停引领医药商业高潮】截至2026年7月14日10:27，生物科技ETF易方达（159837）上涨2.33%，报0.484元，盘中最高触及0.484元，成交额达2534万元。同期大盘呈现分化格局，上证指数报3911.60点，微跌0.06%；深证成指涨0.58%报14606.93点；创业板指涨1.08%报3763.72点，延续领涨态势。,eastmoney_724,1
300937.SZ,300937,药易购,10:06:24,2026-07-14 10:11:41,医药商业板块持续走高 药易购20cm涨停,医药商业板块持续走高，药易购20cm涨停，此前人民同泰涨停，建发致新、华人健康涨超10%，达嘉维康、大参林、鹭燕医药、合富中国跟涨。,eastmoney_724,1
600183.SH,600183,生益科技,09:53:06,2026-07-14 09:53:28,PCB板块短线拉升 广合科技、生益科技涨停,PCB板块短线拉升，广合科技、生益科技涨停，中英科技、东山精密、南亚新材、华正新材等纷纷走高。,eastmoney_724,1
600255.SH,600255,鑫科材料,09:36:11,,,,,0
600293.SH,600293,三峡新材,09:53:58,,,,,0
600354.SH,600354,敦煌种业,09:25:02,,,,,0
600403.SH,600403,大有能源,09:46:11,2026-07-14 09:48:08,煤炭开采加工板块短线拉升 大有能源涨停,煤炭开采加工板块短线拉升，大有能源涨停，昊华能源、兖矿能源、晋控煤业、中煤能源、山煤国际跟涨。,eastmoney_724,1
600664.SH,600664,哈药股份,09:42:01,,,,,0
600746.SH,600746,江苏索普,09:30:02,,,,,0
600829.SH,600829,人民同泰,09:40:01,2026-07-14 10:11:41,医药商业板块持续走高 药易购20cm涨停,医药商业板块持续走高，药易购20cm涨停，此前人民同泰涨停，建发致新、华人健康涨超10%，达嘉维康、大参林、鹭燕医药、合富中国跟涨。,eastmoney_724,1
600844.SH,600844,金煤科技,09:30:27,,,,,0
603042.SH,603042,华脉科技,09:30:38,,,,,0
603065.SH,603065,宿迁联盛,09:56:37,,,,,0
603186.SH,603186,华正新材,10:19:56,2026-07-14 09:53:28,PCB板块短线拉升 广合科技、生益科技涨停,PCB板块短线拉升，广合科技、生益科技涨停，中英科技、东山精密、南亚新材、华正新材等纷纷走高。,eastmoney_724,1
603197.SH,603197,保隆科技,09:34:01,,,,,0
603489.SH,603489,八方股份,09:30:46,,,,,0
603516.SH,603516,淳中科技,09:30:42,2026-07-14 09:35:28,液冷服务器概念表现活跃 淳中科技涨停,液冷服务器概念表现活跃，淳中科技涨停，同飞股份、大元泵业、冰轮环境、南方泵业、飞龙股份跟涨。,eastmoney_724,1
603580.SH,603580,艾艾精工,09:25:00,2026-07-14 09:01:58,河池“80后”企业家拟斥资超14亿元拿下艾艾精工控股权 承诺三年内不注入资产,【河池“80后”企业家拟斥资超14亿元拿下艾艾精工控股权 承诺三年内不注入资产】7月13日晚间，艾艾精工一纸公告宣告这家上市逾十年的轻型输送带企业将正式易主。接盘方为广西河池“80后”企业家袁源，其通过新设平台上海誉升同风金属材料科技有限公司，拟斥资约10.82亿元受让公司控股股东、实际控制人之一蔡瑞美所持的29.99%股份，并同步发起部分要约收购（占上市公司股本总数的10.01%）。本次交易完成后，上海誉升合计将持有上市公司40%股权。,eastmoney_724,1
603806.SH,603806,福斯特,09:35:25,,,,,0
605028.SH,605028,世茂能源,09:30:28,,,,,0
605189.SH,605189,富春染织,10:26:51,,,,,0
605255.SH,605255,天普股份,09:30:54,,,,,0
688216.SH,688216,气派科技,10:03:06,2026-07-14 09:57:12,先进封装概念震荡回升 气派科技逼近20cm涨停,先进封装概念震荡回升，气派科技逼近20cm涨停，华天科技、联动科技、领先股份、中科飞测、三佳科技跟涨。,eastmoney_724,1
920305.BJ,920305,云创退,09:45:07,,,,,0
