根据新闻中**股票第一次出现的顺序**整理如下（去重）：,,,,,,,# 2026-07-14 A股市场热点复盘（每日题材整理）,,,,,,,# 2026-07-15 A股盘面热点复盘（每日市场分析）,,,,,,,按你之前的格式，仅整理股票代码（按概念分类，去重并排序）：,,,,,## 2026-07-17 热点板块股票代码整理
,,,,,,,,,,,,,,,,,,,,,,,,,,
| 顺序 | 股票   | 代码         | 所属方向     |,,,,,,,---,,,,,,,---,,,,,,,---,,,,,---
| -- | ---- | ---------- | -------- |,,,,,,,,,,,,,,,,,,,,,,,,,,
| 1  | 陇神戎发 | **300534** | 中药、创新药   |,,,,,,,# 一、今日热点题材梳理（按资金强度排序）,,,,,,,# 一、今日热点题材（按资金热度排序）,,,,,,,# 2026-07-16 热点板块股票代码整理,,,,,### 一、电力
| 2  | 九芝堂  | **000989** | 中药       |,,,,,,,,,,,,,,,,,,,,,,,,,,
| 3  | 哈药股份 | **600664** | 医药、中药    |,,,,,,,| 热点等级  | 题材         | 龙头股       | 板块强度   |,,,,,,,| 排名 | 题材         | 龙头股       | 热度    | 持续性  |,,,,,,,## 一、端侧AI,,,,,| 股票   | 代码     |
| 4  | 立方制药 | **003020** | 创新药、化学制药 |,,,,,,,| ----- | ---------- | --------- | ------ |,,,,,,,| -- | ---------- | --------- | ----- | ---- |,,,,,,,,,,,,| ---- | ------ |
| 5  | 生物谷  | **833266** | 中药       |,,,,,,,| ★★★★★ | PCB/CCL产业链 | 生益科技、广合科技 | 今日最强主线 |,,,,,,,| ①  | PCB/CCL产业链 | 广合科技、生益科技 | ????? | 主升浪  |,,,,,,,| 股票   | 代码     |,,,,,| 桂冠电力 | 600236 |
| 6  | 万邦医药 | **301520** | 创新药、CXO  |,,,,,,,| ★★★★☆ | 医药商业       | 药易购、人民同泰  | 医药继续扩散 |,,,,,,,| ②  | 医药商业       | 药易购、人民同泰  | ????☆ | 趋势增强 |,,,,,,,| ---- | ------ |,,,,,| 华银电力 | 600744 |
| 7  | 上海凯宝 | **300039** | 中药       |,,,,,,,| ★★★★☆ | 液冷服务器      | 淳中科技      | AI硬件延续 |,,,,,,,| ③  | 液冷服务器      | 淳中科技      | ????☆ | AI主线 |,,,,,,,| 智度股份 | 000676 |,,,,,| 乐山电力 | 600644 |
| 8  | 新赣江  | **873167** | 中药       |,,,,,,,| ★★★★☆ | 先进封装       | 气派科技      | 半导体轮动  |,,,,,,,| ④  | 先进封装       | 气派科技      | ????  | 科技轮动 |,,,,,,,| 国光电器 | 002045 |,,,,,| 深南电A | 000037 |
| 9  | 广誉远  | **600771** | 中药       |,,,,,,,| ★★★☆☆ | 煤炭         | 大有能源      | 周期补涨   |,,,,,,,| ⑤  | 零售消费       | 中百集团      | ???   | 事件驱动 |,,,,,,,| 福日电子 | 600203 |,,,,,| 杭州热电 | 605011 |
| 10 | 以岭药业 | **002603** | 中药、创新药   |,,,,,,,| ★★★☆☆ | 零售消费       | 中百集团      | 消费修复   |,,,,,,,| ⑥  | 煤炭         | 大有能源      | ???   | 周期轮动 |,,,,,,,| 福蓉科技 | 603327 |,,,,,| 西昌电力 | 600505 |
| 11 | 大唐药业 | **836433** | 中药       |,,,,,,,,,,,,,,,,,,,,,| 格林精密 | 300968 |,,,,,| 珈伟新能 | 300317 |
| 12 | 新天地  | **301277** | 创新药原料    |,,,,,,,---,,,,,,,---,,,,,,,| 豪声电子 | 838701 |,,,,,| 九洲集团 | 300040 |
| 13 | 双鹭药业 | **002038** | 生物制药     |,,,,,,,,,,,,,,,,,,,,,| 慧为智能 | 832876 |,,,,,
| 14 | 昊帆生物 | **301393** | 医药中间体    |,,,,,,,# 二、今日出现股票整理（去重）,,,,,,,# 二、今日出现股票整理（去重+分类）,,,,,,,| 电声股份 | 300805 |,,,,,---
| 15 | 海正药业 | **600267** | 创新药      |,,,,,,,,,,,,,,,,,,,,,| 泓禧科技 | 871857 |,,,,,
